  time        pos_x        pos_y        vel_x        vel_y    BCI_pos_x    BCI_pos_y    BCI_vel_x    BCI_vel_y
15.298   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.361   353.718173   234.878206   377.980397  -296.455213     0.000000     0.000000     0.000000     0.000000
15.415   362.823789   228.807795   168.644800  -112.429867     0.000000     0.000000     0.000000     0.000000
15.467   363.057266   228.574317     4.489834    -4.489834     0.000000     0.000000     0.000000     0.000000
15.525   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.586   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.647   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.711   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.763   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.821   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.877   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.935   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
16.121   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
16.172     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
16.228   363.057266   228.574317  6483.806215  4082.087643     0.000000     0.000000     0.000000     0.000000
16.289   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
16.341   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
16.399   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
16.456   363.057266   228.574317     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
16.509   314.493979   238.146889  -916.338620   180.624440     0.000000     0.000000     0.000000     0.000000
16.567   283.908447   242.116003  -527.281093    68.425791     0.000000     0.000000     0.000000     0.000000
16.624   269.199375   244.684254  -258.052571    45.056798     0.000000     0.000000     0.000000     0.000000
16.686   254.957257   246.085118  -229.714315    22.594851     0.000000     0.000000     0.000000     0.000000
16.743   234.878206   252.155529  -352.262240   106.497887     0.000000     0.000000     0.000000     0.000000
16.806   219.001746   258.692895  -252.027166   103.775892     0.000000     0.000000     0.000000     0.000000
16.865   210.363085   258.692895  -146.413297     0.000000     0.000000     0.000000     0.000000     0.000000
16.926   207.561357   258.692895   -45.927340     0.000000     0.000000     0.000000     0.000000     0.000000
16.988   206.393970   258.692895   -18.829042     0.000000     0.000000     0.000000     0.000000     0.000000
17.044   205.460061   258.459417   -16.678601    -4.169650     0.000000     0.000000     0.000000     0.000000
17.102   204.759629   257.758985   -12.075140   -12.075140     0.000000     0.000000     0.000000     0.000000
17.163   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.213   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.276   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.334   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.385   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.444   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.494   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.544   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.595   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
17.646   204.759629   257.758985     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
